"val 0,0
","val 0,1
","val 0,2
","val 0,3
","val 0,4
"
"val 49,0
","val 49,1
","val 49,2
","val 49,3
","val 49,4
"
"val 50,0
","val 50,1
","val 50,2
","val 50,3
","val 50,4
"
"val 51,0
","val 51,1
","val 51,2
","val 51,3
","val 51,4
"
"val 52,0
","val 52,1
","val 52,2
","val 52,3
","val 52,4
"
"val 53,0
","val 53,1
","val 53,2
","val 53,3
","val 53,4
"
"val 54,0
","val 54,1
","val 54,2
","val 54,3
","val 54,4
"
"val 55,0
","val 55,1
","val 55,2
","val 55,3
","val 55,4
"
"val 56,0
","val 56,1
","val 56,2
","val 56,3
","val 56,4
"
"val 57,0
","val 57,1
","val 57,2
","val 57,3
","val 57,4
"
"val 58,0
","val 58,1
","val 58,2
","val 58,3
","val 58,4
"
"val 59,0
","val 59,1
","val 59,2
","val 59,3
","val 59,4
"
"val 60,0
","val 60,1
","val 60,2
","val 60,3
","val 60,4
"
"val 61,0
","val 61,1
","val 61,2
","val 61,3
","val 61,4
"
"val 62,0
","val 62,1
","val 62,2
","val 62,3
","val 62,4
"
"val 63,0
","val 63,1
","val 63,2
","val 63,3
","val 63,4
"
"val 64,0
","val 64,1
","val 64,2
","val 64,3
","val 64,4
"
"val 65,0
","val 65,1
","val 65,2
","val 65,3
","val 65,4
"
"val 66,0
","val 66,1
","val 66,2
","val 66,3
","val 66,4
"
"val 67,0
","val 67,1
","val 67,2
","val 67,3
","val 67,4
"
"val 68,0
","val 68,1
","val 68,2
","val 68,3
","val 68,4
"
"val 69,0
","val 69,1
","val 69,2
","val 69,3
","val 69,4
"
"val 70,0
","val 70,1
","val 70,2
","val 70,3
","val 70,4
"
"val 71,0
","val 71,1
","val 71,2
","val 71,3
","val 71,4
"
"val 72,0
","val 72,1
","val 72,2
","val 72,3
","val 72,4
"
"val 73,0
","val 73,1
","val 73,2
","val 73,3
","val 73,4
"
"val 74,0
","val 74,1
","val 74,2
","val 74,3
","val 74,4
"
"val 75,0
","val 75,1
","val 75,2
","val 75,3
","val 75,4
"
"val 76,0
","val 76,1
","val 76,2
","val 76,3
","val 76,4
"
"val 77,0
","val 77,1
","val 77,2
","val 77,3
","val 77,4
"
"val 78,0
","val 78,1
","val 78,2
","val 78,3
","val 78,4
"
"val 79,0
","val 79,1
","val 79,2
","val 79,3
","val 79,4
"
"val 80,0
","val 80,1
","val 80,2
","val 80,3
","val 80,4
"
"val 81,0
","val 81,1
","val 81,2
","val 81,3
","val 81,4
"
"val 82,0
","val 82,1
","val 82,2
","val 82,3
","val 82,4
"
"val 83,0
","val 83,1
","val 83,2
","val 83,3
","val 83,4
"
"val 84,0
","val 84,1
","val 84,2
","val 84,3
","val 84,4
"
"val 85,0
","val 85,1
","val 85,2
","val 85,3
","val 85,4
"
"val 86,0
","val 86,1
","val 86,2
","val 86,3
","val 86,4
"
"val 87,0
","val 87,1
","val 87,2
","val 87,3
","val 87,4
"
"val 88,0
","val 88,1
","val 88,2
","val 88,3
","val 88,4
"
"val 89,0
","val 89,1
","val 89,2
","val 89,3
","val 89,4
"
"val 90,0
","val 90,1
","val 90,2
","val 90,3
","val 90,4
"
"val 91,0
","val 91,1
","val 91,2
","val 91,3
","val 91,4
"
"val 92,0
","val 92,1
","val 92,2
","val 92,3
","val 92,4
"
"val 93,0
","val 93,1
","val 93,2
","val 93,3
","val 93,4
"
"val 94,0
","val 94,1
","val 94,2
","val 94,3
","val 94,4
"
"val 95,0
","val 95,1
","val 95,2
","val 95,3
","val 95,4
"
"val 96,0
","val 96,1
","val 96,2
","val 96,3
","val 96,4
"
"val 97,0
","val 97,1
","val 97,2
","val 97,3
","val 97,4
"
"val 98,0
","val 98,1
","val 98,2
","val 98,3
","val 98,4
"
"val 99,0
","val 99,1
","val 99,2
","val 99,3
","val 99,4
"
"val 100,0
","val 100,1
","val 100,2
","val 100,3
","val 100,4
"
"val 101,0
","val 101,1
","val 101,2
","val 101,3
","val 101,4
"
"val 102,0
","val 102,1
","val 102,2
","val 102,3
","val 102,4
"
"val 103,0
","val 103,1
","val 103,2
","val 103,3
","val 103,4
"
"val 104,0
","val 104,1
","val 104,2
","val 104,3
","val 104,4
"
"val 105,0
","val 105,1
","val 105,2
","val 105,3
","val 105,4
"
"val 106,0
","val 106,1
","val 106,2
","val 106,3
","val 106,4
"
"val 107,0
","val 107,1
","val 107,2
","val 107,3
","val 107,4
"
"val 108,0
","val 108,1
","val 108,2
","val 108,3
","val 108,4
"
"val 109,0
","val 109,1
","val 109,2
","val 109,3
","val 109,4
"
"val 110,0
","val 110,1
","val 110,2
","val 110,3
","val 110,4
"
"val 111,0
","val 111,1
","val 111,2
","val 111,3
","val 111,4
"
"val 112,0
","val 112,1
","val 112,2
","val 112,3
","val 112,4
"
"val 113,0
","val 113,1
","val 113,2
","val 113,3
","val 113,4
"
"val 114,0
","val 114,1
","val 114,2
","val 114,3
","val 114,4
"
"val 115,0
","val 115,1
","val 115,2
","val 115,3
","val 115,4
"
"val 116,0
","val 116,1
","val 116,2
","val 116,3
","val 116,4
"
"val 117,0
","val 117,1
","val 117,2
","val 117,3
","val 117,4
"
"val 118,0
","val 118,1
","val 118,2
","val 118,3
","val 118,4
"
"val 119,0
","val 119,1
","val 119,2
","val 119,3
","val 119,4
"
"val 120,0
","val 120,1
","val 120,2
","val 120,3
","val 120,4
"
"val 121,0
","val 121,1
","val 121,2
","val 121,3
","val 121,4
"
"val 122,0
","val 122,1
","val 122,2
","val 122,3
","val 122,4
"
"val 123,0
","val 123,1
","val 123,2
","val 123,3
","val 123,4
"
"val 124,0
","val 124,1
","val 124,2
","val 124,3
","val 124,4
"
"val 125,0
","val 125,1
","val 125,2
","val 125,3
","val 125,4
"
"val 126,0
","val 126,1
","val 126,2
","val 126,3
","val 126,4
"
"val 127,0
","val 127,1
","val 127,2
","val 127,3
","val 127,4
"
"val 128,0
","val 128,1
","val 128,2
","val 128,3
","val 128,4
"
"val 129,0
","val 129,1
","val 129,2
","val 129,3
","val 129,4
"
"val 130,0
","val 130,1
","val 130,2
","val 130,3
","val 130,4
"
"val 131,0
","val 131,1
","val 131,2
","val 131,3
","val 131,4
"
"val 132,0
","val 132,1
","val 132,2
","val 132,3
","val 132,4
"
"val 133,0
","val 133,1
","val 133,2
","val 133,3
","val 133,4
"
"val 134,0
","val 134,1
","val 134,2
","val 134,3
","val 134,4
"
"val 135,0
","val 135,1
","val 135,2
","val 135,3
","val 135,4
"
"val 136,0
","val 136,1
","val 136,2
","val 136,3
","val 136,4
"
"val 137,0
","val 137,1
","val 137,2
","val 137,3
","val 137,4
"
"val 138,0
","val 138,1
","val 138,2
","val 138,3
","val 138,4
"
"val 139,0
","val 139,1
","val 139,2
","val 139,3
","val 139,4
"
"val 140,0
","val 140,1
","val 140,2
","val 140,3
","val 140,4
"
"val 141,0
","val 141,1
","val 141,2
","val 141,3
","val 141,4
"
"val 142,0
","val 142,1
","val 142,2
","val 142,3
","val 142,4
"
"val 143,0
","val 143,1
","val 143,2
","val 143,3
","val 143,4
"
"val 144,0
","val 144,1
","val 144,2
","val 144,3
","val 144,4
"
"val 145,0
","val 145,1
","val 145,2
","val 145,3
","val 145,4
"
"val 146,0
","val 146,1
","val 146,2
","val 146,3
","val 146,4
"
"val 147,0
","val 147,1
","val 147,2
","val 147,3
","val 147,4
"
"val 148,0
","val 148,1
","val 148,2
","val 148,3
","val 148,4
"
"val 149,0
","val 149,1
","val 149,2
","val 149,3
","val 149,4
"
"val 150,0
","val 150,1
","val 150,2
","val 150,3
","val 150,4
"
"val 151,0
","val 151,1
","val 151,2
","val 151,3
","val 151,4
"
"val 152,0
","val 152,1
","val 152,2
","val 152,3
","val 152,4
"
"val 153,0
","val 153,1
","val 153,2
","val 153,3
","val 153,4
"
"val 154,0
","val 154,1
","val 154,2
","val 154,3
","val 154,4
"
"val 155,0
","val 155,1
","val 155,2
","val 155,3
","val 155,4
"
"val 156,0
","val 156,1
","val 156,2
","val 156,3
","val 156,4
"
"val 157,0
","val 157,1
","val 157,2
","val 157,3
","val 157,4
"
"val 158,0
","val 158,1
","val 158,2
","val 158,3
","val 158,4
"
"val 159,0
","val 159,1
","val 159,2
","val 159,3
","val 159,4
"
"val 160,0
","val 160,1
","val 160,2
","val 160,3
","val 160,4
"
"val 161,0
","val 161,1
","val 161,2
","val 161,3
","val 161,4
"
"val 162,0
","val 162,1
","val 162,2
","val 162,3
","val 162,4
"
"val 163,0
","val 163,1
","val 163,2
","val 163,3
","val 163,4
"
"val 164,0
","val 164,1
","val 164,2
","val 164,3
","val 164,4
"
"val 165,0
","val 165,1
","val 165,2
","val 165,3
","val 165,4
"
"val 166,0
","val 166,1
","val 166,2
","val 166,3
","val 166,4
"
"val 167,0
","val 167,1
","val 167,2
","val 167,3
","val 167,4
"
"val 168,0
","val 168,1
","val 168,2
","val 168,3
","val 168,4
"
"val 169,0
","val 169,1
","val 169,2
","val 169,3
","val 169,4
"
"val 170,0
","val 170,1
","val 170,2
","val 170,3
","val 170,4
"
"val 171,0
","val 171,1
","val 171,2
","val 171,3
","val 171,4
"
"val 172,0
","val 172,1
","val 172,2
","val 172,3
","val 172,4
"
"val 173,0
","val 173,1
","val 173,2
","val 173,3
","val 173,4
"
"val 174,0
","val 174,1
","val 174,2
","val 174,3
","val 174,4
"
"val 175,0
","val 175,1
","val 175,2
","val 175,3
","val 175,4
"
"val 176,0
","val 176,1
","val 176,2
","val 176,3
","val 176,4
"
"val 177,0
","val 177,1
","val 177,2
","val 177,3
","val 177,4
"
"val 178,0
","val 178,1
","val 178,2
","val 178,3
","val 178,4
"
"val 179,0
","val 179,1
","val 179,2
","val 179,3
","val 179,4
"
"val 180,0
","val 180,1
","val 180,2
","val 180,3
","val 180,4
"
"val 181,0
","val 181,1
","val 181,2
","val 181,3
","val 181,4
"
"val 182,0
","val 182,1
","val 182,2
","val 182,3
","val 182,4
"
"val 183,0
","val 183,1
","val 183,2
","val 183,3
","val 183,4
"
"val 184,0
","val 184,1
","val 184,2
","val 184,3
","val 184,4
"
"val 185,0
","val 185,1
","val 185,2
","val 185,3
","val 185,4
"
"val 186,0
","val 186,1
","val 186,2
","val 186,3
","val 186,4
"
"val 187,0
","val 187,1
","val 187,2
","val 187,3
","val 187,4
"
"val 188,0
","val 188,1
","val 188,2
","val 188,3
","val 188,4
"
"val 189,0
","val 189,1
","val 189,2
","val 189,3
","val 189,4
"
"val 190,0
","val 190,1
","val 190,2
","val 190,3
","val 190,4
"
"val 191,0
","val 191,1
","val 191,2
","val 191,3
","val 191,4
"
"val 192,0
","val 192,1
","val 192,2
","val 192,3
","val 192,4
"
"val 193,0
","val 193,1
","val 193,2
","val 193,3
","val 193,4
"
"val 194,0
","val 194,1
","val 194,2
","val 194,3
","val 194,4
"
"val 195,0
","val 195,1
","val 195,2
","val 195,3
","val 195,4
"
"val 196,0
","val 196,1
","val 196,2
","val 196,3
","val 196,4
"
"val 197,0
","val 197,1
","val 197,2
","val 197,3
","val 197,4
"
"val 198,0
","val 198,1
","val 198,2
","val 198,3
","val 198,4
"
"val 199,0
","val 199,1
","val 199,2
","val 199,3
","val 199,4
"
"val 200,0
","val 200,1
","val 200,2
","val 200,3
","val 200,4
"
"val 201,0
","val 201,1
","val 201,2
","val 201,3
","val 201,4
"
"val 202,0
","val 202,1
","val 202,2
","val 202,3
","val 202,4
"
"val 203,0
","val 203,1
","val 203,2
","val 203,3
","val 203,4
"
"val 204,0
","val 204,1
","val 204,2
","val 204,3
","val 204,4
"
"val 205,0
","val 205,1
","val 205,2
","val 205,3
","val 205,4
"
"val 206,0
","val 206,1
","val 206,2
","val 206,3
","val 206,4
"
"val 207,0
","val 207,1
","val 207,2
","val 207,3
","val 207,4
"
"val 208,0
","val 208,1
","val 208,2
","val 208,3
","val 208,4
"
"val 209,0
","val 209,1
","val 209,2
","val 209,3
","val 209,4
"
"val 210,0
","val 210,1
","val 210,2
","val 210,3
","val 210,4
"
"val 211,0
","val 211,1
","val 211,2
","val 211,3
","val 211,4
"
"val 212,0
","val 212,1
","val 212,2
","val 212,3
","val 212,4
"
"val 213,0
","val 213,1
","val 213,2
","val 213,3
","val 213,4
"
"val 214,0
","val 214,1
","val 214,2
","val 214,3
","val 214,4
"
"val 215,0
","val 215,1
","val 215,2
","val 215,3
","val 215,4
"
"val 216,0
","val 216,1
","val 216,2
","val 216,3
","val 216,4
"
"val 217,0
","val 217,1
","val 217,2
","val 217,3
","val 217,4
"
"val 218,0
","val 218,1
","val 218,2
","val 218,3
","val 218,4
"
"val 219,0
","val 219,1
","val 219,2
","val 219,3
","val 219,4
"
"val 220,0
","val 220,1
","val 220,2
","val 220,3
","val 220,4
"
"val 221,0
","val 221,1
","val 221,2
","val 221,3
","val 221,4
"
"val 222,0
","val 222,1
","val 222,2
","val 222,3
","val 222,4
"
"val 223,0
","val 223,1
","val 223,2
","val 223,3
","val 223,4
"
"val 224,0
","val 224,1
","val 224,2
","val 224,3
","val 224,4
"
"val 225,0
","val 225,1
","val 225,2
","val 225,3
","val 225,4
"
"val 226,0
","val 226,1
","val 226,2
","val 226,3
","val 226,4
"
"val 227,0
","val 227,1
","val 227,2
","val 227,3
","val 227,4
"
"val 228,0
","val 228,1
","val 228,2
","val 228,3
","val 228,4
"
"val 229,0
","val 229,1
","val 229,2
","val 229,3
","val 229,4
"
"val 230,0
","val 230,1
","val 230,2
","val 230,3
","val 230,4
"
"val 231,0
","val 231,1
","val 231,2
","val 231,3
","val 231,4
"
"val 232,0
","val 232,1
","val 232,2
","val 232,3
","val 232,4
"
"val 233,0
","val 233,1
","val 233,2
","val 233,3
","val 233,4
"
"val 234,0
","val 234,1
","val 234,2
","val 234,3
","val 234,4
"
"val 235,0
","val 235,1
","val 235,2
","val 235,3
","val 235,4
"
"val 236,0
","val 236,1
","val 236,2
","val 236,3
","val 236,4
"
"val 237,0
","val 237,1
","val 237,2
","val 237,3
","val 237,4
"
"val 238,0
","val 238,1
","val 238,2
","val 238,3
","val 238,4
"
"val 239,0
","val 239,1
","val 239,2
","val 239,3
","val 239,4
"
"val 240,0
","val 240,1
","val 240,2
","val 240,3
","val 240,4
"
"val 241,0
","val 241,1
","val 241,2
","val 241,3
","val 241,4
"
"val 242,0
","val 242,1
","val 242,2
","val 242,3
","val 242,4
"
"val 243,0
","val 243,1
","val 243,2
","val 243,3
","val 243,4
"
"val 244,0
","val 244,1
","val 244,2
","val 244,3
","val 244,4
"
"val 245,0
","val 245,1
","val 245,2
","val 245,3
","val 245,4
"
"val 246,0
","val 246,1
","val 246,2
","val 246,3
","val 246,4
"
"val 247,0
","val 247,1
","val 247,2
","val 247,3
","val 247,4
"
"val 248,0
","val 248,1
","val 248,2
","val 248,3
","val 248,4
"
"val 249,0
","val 249,1
","val 249,2
","val 249,3
","val 249,4
"
"val 250,0
","val 250,1
","val 250,2
","val 250,3
","val 250,4
"
"val 251,0
","val 251,1
","val 251,2
","val 251,3
","val 251,4
"
"val 252,0
","val 252,1
","val 252,2
","val 252,3
","val 252,4
"
"val 253,0
","val 253,1
","val 253,2
","val 253,3
","val 253,4
"
"val 254,0
","val 254,1
","val 254,2
","val 254,3
","val 254,4
"
"val 255,0
","val 255,1
","val 255,2
","val 255,3
","val 255,4
"
"val 256,0
","val 256,1
","val 256,2
","val 256,3
","val 256,4
"
"val 257,0
","val 257,1
","val 257,2
","val 257,3
","val 257,4
"
"val 258,0
","val 258,1
","val 258,2
","val 258,3
","val 258,4
"
"val 259,0
","val 259,1
","val 259,2
","val 259,3
","val 259,4
"
"val 260,0
","val 260,1
","val 260,2
","val 260,3
","val 260,4
"
"val 261,0
","val 261,1
","val 261,2
","val 261,3
","val 261,4
"
"val 262,0
","val 262,1
","val 262,2
","val 262,3
","val 262,4
"
"val 263,0
","val 263,1
","val 263,2
","val 263,3
","val 263,4
"
"val 264,0
","val 264,1
","val 264,2
","val 264,3
","val 264,4
"
"val 265,0
","val 265,1
","val 265,2
","val 265,3
","val 265,4
"
"val 266,0
","val 266,1
","val 266,2
","val 266,3
","val 266,4
"
"val 267,0
","val 267,1
","val 267,2
","val 267,3
","val 267,4
"
"val 268,0
","val 268,1
","val 268,2
","val 268,3
","val 268,4
"
"val 269,0
","val 269,1
","val 269,2
","val 269,3
","val 269,4
"
"val 270,0
","val 270,1
","val 270,2
","val 270,3
","val 270,4
"
"val 271,0
","val 271,1
","val 271,2
","val 271,3
","val 271,4
"
"val 272,0
","val 272,1
","val 272,2
","val 272,3
","val 272,4
"
"val 273,0
","val 273,1
","val 273,2
","val 273,3
","val 273,4
"
"val 274,0
","val 274,1
","val 274,2
","val 274,3
","val 274,4
"
"val 275,0
","val 275,1
","val 275,2
","val 275,3
","val 275,4
"
"val 276,0
","val 276,1
","val 276,2
","val 276,3
","val 276,4
"
"val 277,0
","val 277,1
","val 277,2
","val 277,3
","val 277,4
"
"val 278,0
","val 278,1
","val 278,2
","val 278,3
","val 278,4
"
"val 279,0
","val 279,1
","val 279,2
","val 279,3
","val 279,4
"
"val 280,0
","val 280,1
","val 280,2
","val 280,3
","val 280,4
"
"val 281,0
","val 281,1
","val 281,2
","val 281,3
","val 281,4
"
"val 282,0
","val 282,1
","val 282,2
","val 282,3
","val 282,4
"
"val 283,0
","val 283,1
","val 283,2
","val 283,3
","val 283,4
"
"val 284,0
","val 284,1
","val 284,2
","val 284,3
","val 284,4
"
"val 285,0
","val 285,1
","val 285,2
","val 285,3
","val 285,4
"
"val 286,0
","val 286,1
","val 286,2
","val 286,3
","val 286,4
"
"val 287,0
","val 287,1
","val 287,2
","val 287,3
","val 287,4
"
"val 288,0
","val 288,1
","val 288,2
","val 288,3
","val 288,4
"
"val 289,0
","val 289,1
","val 289,2
","val 289,3
","val 289,4
"
"val 290,0
","val 290,1
","val 290,2
","val 290,3
","val 290,4
"
"val 291,0
","val 291,1
","val 291,2
","val 291,3
","val 291,4
"
"val 292,0
","val 292,1
","val 292,2
","val 292,3
","val 292,4
"
"val 293,0
","val 293,1
","val 293,2
","val 293,3
","val 293,4
"
"val 294,0
","val 294,1
","val 294,2
","val 294,3
","val 294,4
"
"val 295,0
","val 295,1
","val 295,2
","val 295,3
","val 295,4
"
"val 296,0
","val 296,1
","val 296,2
","val 296,3
","val 296,4
"
"val 297,0
","val 297,1
","val 297,2
","val 297,3
","val 297,4
"
"val 298,0
","val 298,1
","val 298,2
","val 298,3
","val 298,4
"
"val 299,0
","val 299,1
","val 299,2
","val 299,3
","val 299,4
"
"val 300,0
","val 300,1
","val 300,2
","val 300,3
","val 300,4
"
"val 301,0
","val 301,1
","val 301,2
","val 301,3
","val 301,4
"
"val 302,0
","val 302,1
","val 302,2
","val 302,3
","val 302,4
"
"val 303,0
","val 303,1
","val 303,2
","val 303,3
","val 303,4
"
"val 304,0
","val 304,1
","val 304,2
","val 304,3
","val 304,4
"
"val 305,0
","val 305,1
","val 305,2
","val 305,3
","val 305,4
"
"val 306,0
","val 306,1
","val 306,2
","val 306,3
","val 306,4
"
"val 307,0
","val 307,1
","val 307,2
","val 307,3
","val 307,4
"
"val 308,0
","val 308,1
","val 308,2
","val 308,3
","val 308,4
"
"val 309,0
","val 309,1
","val 309,2
","val 309,3
","val 309,4
"
"val 310,0
","val 310,1
","val 310,2
","val 310,3
","val 310,4
"
"val 311,0
","val 311,1
","val 311,2
","val 311,3
","val 311,4
"
"val 312,0
","val 312,1
","val 312,2
","val 312,3
","val 312,4
"
"val 313,0
","val 313,1
","val 313,2
","val 313,3
","val 313,4
"
"val 314,0
","val 314,1
","val 314,2
","val 314,3
","val 314,4
"
"val 315,0
","val 315,1
","val 315,2
","val 315,3
","val 315,4
"
"val 316,0
","val 316,1
","val 316,2
","val 316,3
","val 316,4
"
"val 317,0
","val 317,1
","val 317,2
","val 317,3
","val 317,4
"
"val 318,0
","val 318,1
","val 318,2
","val 318,3
","val 318,4
"
"val 319,0
","val 319,1
","val 319,2
","val 319,3
","val 319,4
"
"val 320,0
","val 320,1
","val 320,2
","val 320,3
","val 320,4
"
"val 321,0
","val 321,1
","val 321,2
","val 321,3
","val 321,4
"
"val 322,0
","val 322,1
","val 322,2
","val 322,3
","val 322,4
"
"val 323,0
","val 323,1
","val 323,2
","val 323,3
","val 323,4
"
"val 324,0
","val 324,1
","val 324,2
","val 324,3
","val 324,4
"
"val 325,0
","val 325,1
","val 325,2
","val 325,3
","val 325,4
"
"val 326,0
","val 326,1
","val 326,2
","val 326,3
","val 326,4
"
"val 327,0
","val 327,1
","val 327,2
","val 327,3
","val 327,4
"
"val 328,0
","val 328,1
","val 328,2
","val 328,3
","val 328,4
"
"val 329,0
","val 329,1
","val 329,2
","val 329,3
","val 329,4
"
"val 330,0
","val 330,1
","val 330,2
","val 330,3
","val 330,4
"
"val 331,0
","val 331,1
","val 331,2
","val 331,3
","val 331,4
"
"val 332,0
","val 332,1
","val 332,2
","val 332,3
","val 332,4
"
"val 333,0
","val 333,1
","val 333,2
","val 333,3
","val 333,4
"
"val 334,0
","val 334,1
","val 334,2
","val 334,3
","val 334,4
"
"val 335,0
","val 335,1
","val 335,2
","val 335,3
","val 335,4
"
"val 336,0
","val 336,1
","val 336,2
","val 336,3
","val 336,4
"
"val 337,0
","val 337,1
","val 337,2
","val 337,3
","val 337,4
"
"val 338,0
","val 338,1
","val 338,2
","val 338,3
","val 338,4
"
"val 339,0
","val 339,1
","val 339,2
","val 339,3
","val 339,4
"
"val 340,0
","val 340,1
","val 340,2
","val 340,3
","val 340,4
"
"val 341,0
","val 341,1
","val 341,2
","val 341,3
","val 341,4
"
"val 342,0
","val 342,1
","val 342,2
","val 342,3
","val 342,4
"
"val 343,0
","val 343,1
","val 343,2
","val 343,3
","val 343,4
"
"val 344,0
","val 344,1
","val 344,2
","val 344,3
","val 344,4
"
"val 345,0
","val 345,1
","val 345,2
","val 345,3
","val 345,4
"
"val 346,0
","val 346,1
","val 346,2
","val 346,3
","val 346,4
"
"val 347,0
","val 347,1
","val 347,2
","val 347,3
","val 347,4
"
"val 348,0
","val 348,1
","val 348,2
","val 348,3
","val 348,4
"
"val 349,0
","val 349,1
","val 349,2
","val 349,3
","val 349,4
"
"val 350,0
","val 350,1
","val 350,2
","val 350,3
","val 350,4
"
"val 351,0
","val 351,1
","val 351,2
","val 351,3
","val 351,4
"
"val 352,0
","val 352,1
","val 352,2
","val 352,3
","val 352,4
"
"val 353,0
","val 353,1
","val 353,2
","val 353,3
","val 353,4
"
"val 354,0
","val 354,1
","val 354,2
","val 354,3
","val 354,4
"
"val 355,0
","val 355,1
","val 355,2
","val 355,3
","val 355,4
"
"val 356,0
","val 356,1
","val 356,2
","val 356,3
","val 356,4
"
"val 357,0
","val 357,1
","val 357,2
","val 357,3
","val 357,4
"
"val 358,0
","val 358,1
","val 358,2
","val 358,3
","val 358,4
"
"val 359,0
","val 359,1
","val 359,2
","val 359,3
","val 359,4
"
"val 360,0
","val 360,1
","val 360,2
","val 360,3
","val 360,4
"
"val 361,0
","val 361,1
","val 361,2
","val 361,3
","val 361,4
"
"val 362,0
","val 362,1
","val 362,2
","val 362,3
","val 362,4
"
"val 363,0
","val 363,1
","val 363,2
","val 363,3
","val 363,4
"
"val 364,0
","val 364,1
","val 364,2
","val 364,3
","val 364,4
"
"val 365,0
","val 365,1
","val 365,2
","val 365,3
","val 365,4
"
"val 366,0
","val 366,1
","val 366,2
","val 366,3
","val 366,4
"
"val 367,0
","val 367,1
","val 367,2
","val 367,3
","val 367,4
"
"val 368,0
","val 368,1
","val 368,2
","val 368,3
","val 368,4
"
"val 369,0
","val 369,1
","val 369,2
","val 369,3
","val 369,4
"
"val 370,0
","val 370,1
","val 370,2
","val 370,3
","val 370,4
"
"val 371,0
","val 371,1
","val 371,2
","val 371,3
","val 371,4
"
"val 372,0
","val 372,1
","val 372,2
","val 372,3
","val 372,4
"
"val 373,0
","val 373,1
","val 373,2
","val 373,3
","val 373,4
"
"val 374,0
","val 374,1
","val 374,2
","val 374,3
","val 374,4
"
"val 375,0
","val 375,1
","val 375,2
","val 375,3
","val 375,4
"
"val 376,0
","val 376,1
","val 376,2
","val 376,3
","val 376,4
"
